Review_index,Review_sentence,Review_affordance,-,Rebuttal_index,Rebuttal_sentence,Related_to,Relation
,,,,B138,"b'We focus on evaluating the agent for both dynamics models ( in terms of imagination log likelihood , figure 4 ) and policy ( in terms of average episodic returns and loss , figure 2 , 3 , 5 ) .'",,
,,,,B139,b'We show that adding the consistency constraint to the baseline models results in improvements to both the dynamics models and the policy for all the environments that we consider .',,
,,,,B140,b'All the experiments are averaged over 3 random seeds and are plotted with 1 standard deviation interval .',,
,,,,B141,,,
,,,,B142,,,
,,,,B143,b'=====================================',,
,,,,B144,,,
,,,,B145,,,
,,,,B146,,,
,,,,B147,"b'"" It is not clear how novel the central idea is .'",,
,,,,B148,"b'""'",,
,,,,B149,,,
,,,,B150,,,
,,,,B151,b'Our key contribution is the proposal of using the consistency loss which helps to learn more powerful policy and better dynamics model ( as demonstrated over different tasks ) while being very easy to integrate with existing model - based RL approaches .',,
,,,,B152,"b'While our method is relatively simple , we are not aware of prior works that show something similar , and we believe such a simple baseline would be useful for anyone who \xe2\x80\x99s working on model - based RL.'",,
,,,,B153,"b'Further , our experiment demonstrates the effectiveness of the approach .'",,
,,,,B154,"b'If we are mistaken regarding prior works , please let us know !'",,
,,,,B155,,,
,,,,B156,,,
,,,,B157,"b'We would like to emphasize that our work presents an extensive comparative evaluation , and we believe that these results should be taken into consideration in evaluating our work .'",,
,,,,B158,b'We compare multiple approaches across more than 5 simulated tasks to the state of the art methods .',,
,,,,B159,"b'Hopefully , our clarifications are convincing in terms of explaining why the evaluation is fair and rigorous , and we would , of course , be happy to modify it as needed .'",,
,,,,B160,"b'But at a higher level , the fact that such simple model - based approaches work better than somewhat complex model - free approaches actually is the point of the paper to me .'",,
,,,,B161,,,
,,,,B162,,,
,,,,B163,,,
,,,,B164,b'=====================================',,
,,,,B165,,,
,,,,B166,,,
,,,,B167,,,
,,,,B168,"b'"" Statistical significance of improvements is unclear ""'",,
,,,,B169,,,
,,,,B170,,,
,,,,B171,"b'Our evaluation protocol ( section 5 ) consists of 7 environments ( Ant , Half Cheetah , Humanoid etc ) and both observation space and state space models .'",,
,,,,B172,"b'Solving Half Cheetah environment , when observations are in the pixel space ( images ) , is very challenging as useful information like velocity is not available .'",,
,,,,B173,,,
,,,,B174,,,
,,,,B175,,,
,,,,B176,"b'For the observation space model ( section 5.1 ) , we use the \xe2\x80\x9c Hybrid model - based and model - free ( Mb - Mf ) algorithm \xe2\x80\x9d ( Nagabandi et al [ 1 ] ) .'",,
,,,,B177,"b'It is a very strong baseline where the authors proposed to use a trained , deep neural network based dynamics model to initialize a model - free learning agent to combine the sample efficiency of model - based approaches with the high task - specific performance of model - free methods .'",,
,,,,B178,"b'For the state space models ( section 5.2 ) , we use the \xe2\x80\x9c Learning and Querying Fast Generative Models for Reinforcement Learning \xe2\x80\x9d ( Buesing et al [ 2 ] ) as the baseline .'",,
,,,,B179,b'This is a state - of - the - art model for state space models .',,
,,,,B180,,,
,,,,B181,,,
,,,,B182,"b'We focus on evaluating the agent for both dynamics models ( in terms of imagination log likelihood ) ( figure 4 ) and policy ( in terms of average episodic returns ) ( figure 2 , 3 , 5 ) .'",,
,,,,B183,b'We show that adding the consistency constraint to the baseline models results in improvements to both the dynamics models and the policy for all the environments that we consider .',,
,,,,B184,b'All the experiments are averaged over 3 random seeds and are plotted with 1 standard deviation interval .',,
,,,,B185,,,
,,,,B186,,,
,,,,B187,"b""We would appreciate it if the reviewer could take another look at our changes and additional results , and let us know if the reviewer has a request for additional changes that would alleviate the reviewer 's concerns .""",,
,,,,B188,,,
,,,,B189,,,
,,,,B190,b'[ 1 ] : Neural Network Dynamics for Model - Based Deep Reinforcement Learning with Model - Free Fine-Tuning - https://arxiv.org/pdf/1708.02596.pdf',,
,,,,B191,,,
,,,,B192,,,
,,,,B193,b'[ 2 ] : Learning and Querying Fast Generative Models for Reinforcement Learning - https://arxiv.org/pdf/1802.03006.pdf',,
,,,,B194,,,
,,,,B195,,,
,,,,B196,b'Dear Reviewer',,
,,,,B197,,,
,,,,B198,,,
,,,,B199,b'We have added new evaluation results to investigate the robustness of the proposed approach in terms of compounding errors .',,
,,,,B200,"b'When we use the recurrent dynamics model for prediction , the ground - truth sequence is not available for conditioning .'",,
,,,,B201,b'This leads to problems during sampling as even small prediction errors can compound when sampling for a large number of steps .',,
,,,,B202,b'We evaluate the proposed model for robustness by predicting the future for much longer timesteps ( 50 timesteps ) than it was trained on ( 10 timesteps ) .',,
,,,,B203,"b'More generally , in figure 9 ( section 7.3 in appendix ) , we demonstrate that this auxiliary cost helps to learn a better model with improved long - term dependencies by using a training objective that is not solely focused on predicting the next observation , one step at a time .'",,
,,,,B204,,,
,,,,B205,,,
,,,,B206,b'Thank you for your time !',,
,,,,B207,b'The authors appreciate the time reviewers have taken for providing feedback .',,
,,,,B208,b'which resulted in improving the presentation of our paper .',,
,,,,B209,"b'Hence , we would appreciate it if the reviewers could take a look at our changes and additional results , and let us know if they would like to either revise their rating of the paper or request additional changes that would alleviate their concerns .'",,
,,,,B210,,,
,,,,B211,,,
,,,,B212,b'Thank you again for the thoughtful review .',,
,,,,B213,b'We would like to know if our rebuttal adequately addressed your concerns .',,
,,,,B214,b'We would also appreciate any additional feedback on the revised paper .',,
,,,,B215,b'Are there any other aspects of the paper that you think could be improved ?',,
,,,,B216,,,
,,,,B217,,,
